DATE,GBP12MD156N
2015-01-02,0.97525
2015-01-05,0.97556
2015-01-06,0.96431
2015-01-07,0.96213
2015-01-08,0.96525
2015-01-09,0.96494
2015-01-12,0.964
2015-01-13,0.95588
2015-01-14,0.95963
2015-01-15,0.959
2015-01-16,0.95338
2015-01-19,0.96088
2015-01-20,0.96275
2015-01-21,0.95775
2015-01-22,0.9615
2015-01-23,0.95963
2015-01-26,0.96025
2015-01-27,0.9615
2015-01-28,0.96025
2015-01-29,0.96275
2015-01-30,0.95588
2015-02-02,0.9565
2015-02-03,0.95556
2015-02-04,0.96119
2015-02-05,0.96119
2015-02-06,0.96244
2015-02-09,0.969
2015-02-10,0.97556
2015-02-11,0.97775
2015-02-12,0.97556
2015-02-13,0.96431
2015-02-16,0.96338
2015-02-17,0.96494
2015-02-18,0.97963
2015-02-19,0.96931
2015-02-20,0.96963
2015-02-23,0.96994
2015-02-24,0.97494
2015-02-25,0.97088
2015-02-26,0.97119
2015-02-27,0.98025
2015-03-02,0.98025
2015-03-03,0.97869
2015-03-04,0.98213
2015-03-05,0.98369
2015-03-06,0.98619
2015-03-09,0.99244
2015-03-10,0.9915
2015-03-11,0.98556
2015-03-12,0.9815
2015-03-13,0.97963
2015-03-16,0.97713
2015-03-17,0.97431
2015-03-18,0.97056
2015-03-19,0.96963
2015-03-20,0.96775
2015-03-23,0.96088
2015-03-24,0.96213
2015-03-25,0.9615
2015-03-26,0.96213
2015-03-27,0.96775
2015-03-30,0.96588
2015-03-31,0.96588
2015-04-01,0.96838
2015-04-02,0.96713
2015-04-03,.
2015-04-06,.
2015-04-07,0.96963
2015-04-08,0.97025
2015-04-09,0.9715
2015-04-10,0.97213
2015-04-13,0.97275
2015-04-14,0.97088
2015-04-15,0.97213
2015-04-16,0.97275
2015-04-17,0.97463
2015-04-20,0.974
2015-04-21,0.974
2015-04-22,0.97994
2015-04-23,0.98994
2015-04-24,0.99244
2015-04-27,0.98994
2015-04-28,0.98681
2015-04-29,0.98994
2015-04-30,0.99088
2015-05-01,0.99056
2015-05-04,.
2015-05-05,0.99463
2015-05-06,0.99931
2015-05-07,1.00463
2015-05-08,0.99713
2015-05-11,0.99744
2015-05-12,1.00369
2015-05-13,0.99994
2015-05-14,0.99713
2015-05-15,0.99681
2015-05-18,0.99494
2015-05-19,0.9915
2015-05-20,0.99525
2015-05-21,0.999
2015-05-22,0.99963
2015-05-25,.
2015-05-26,1.00088
2015-05-27,1.00181
2015-05-28,0.99838
2015-05-29,0.99931
2015-06-01,0.99806
2015-06-02,1.00088
2015-06-03,1.00119
2015-06-04,1.004
2015-06-05,1.00369
2015-06-08,1.00025
2015-06-09,1.00119
2015-06-10,1.00963
2015-06-11,1.00838
2015-06-12,1.00838
2015-06-15,1.004
2015-06-16,1.00463
2015-06-17,1.01775
2015-06-18,1.01869
2015-06-19,1.01775
2015-06-22,1.02119
2015-06-23,1.02869
2015-06-24,1.04838
2015-06-25,1.05588
2015-06-26,1.05744
2015-06-29,1.0475
2015-06-30,1.04063
2015-07-01,1.0415
2015-07-02,1.04869
2015-07-03,1.04181
2015-07-06,1.02775
2015-07-07,1.02775
2015-07-08,1.01994
2015-07-09,1.02938
2015-07-10,1.03556
2015-07-13,1.0515
2015-07-14,1.0565
2015-07-15,1.07025
2015-07-16,1.07494
2015-07-17,1.07775
2015-07-20,1.07525
2015-07-21,1.07306
2015-07-22,1.07588
2015-07-23,1.07588
2015-07-24,1.07213
2015-07-27,1.06994
2015-07-28,1.07369
2015-07-29,1.07056
2015-07-30,1.07431
2015-07-31,1.07838
2015-08-03,1.07088
2015-08-04,1.07025
2015-08-05,1.08431
2015-08-06,1.08275
2015-08-07,1.07056
2015-08-10,1.06938
2015-08-11,1.06438
2015-08-12,1.05438
2015-08-13,1.05563
2015-08-14,1.05525
2015-08-17,1.05713
2015-08-18,1.06088
2015-08-19,1.06088
2015-08-20,1.059
2015-08-21,1.05588
2015-08-24,1.05025
2015-08-25,1.0465
2015-08-26,1.0465
2015-08-27,1.049
2015-08-28,1.049
2015-08-31,.
2015-09-01,1.05431
2015-09-02,1.054
2015-09-03,1.05306
2015-09-04,1.04838
2015-09-07,1.04994
2015-09-08,1.05025
2015-09-09,1.05306
2015-09-10,1.05556
2015-09-11,1.05438
2015-09-14,1.05438
2015-09-15,1.05688
2015-09-16,1.0725
2015-09-17,1.06963
2015-09-18,1.05213
2015-09-21,1.05025
2015-09-22,1.0465
2015-09-23,1.04525
2015-09-24,1.044
2015-09-25,1.04275
2015-09-28,1.04713
2015-09-29,1.04088
2015-09-30,1.0415
2015-10-01,1.0415
2015-10-02,1.044
2015-10-05,1.0315
2015-10-06,1.03275
2015-10-07,1.03688
2015-10-08,1.03813
2015-10-09,1.03938
2015-10-12,1.03813
2015-10-13,1.03275
2015-10-14,1.02838
2015-10-15,1.024
2015-10-16,1.02713
2015-10-19,1.03213
2015-10-20,1.03088
2015-10-21,1.03275
2015-10-22,1.0315
2015-10-23,1.025
2015-10-26,1.0265
2015-10-27,1.01875
2015-10-28,1.0175
2015-10-29,1.03
2015-10-30,1.03875
2015-11-02,1.0475
2015-11-03,1.04813
2015-11-04,1.05563
2015-11-05,1.05813
2015-11-06,1.03313
2015-11-09,1.054
2015-11-10,1.04338
2015-11-11,1.04275
2015-11-12,1.044
2015-11-13,1.03838
2015-11-16,1.03338
2015-11-17,1.03369
2015-11-18,1.034
2015-11-19,1.034
2015-11-20,1.03088
2015-11-23,1.03088
2015-11-24,1.02775
2015-11-25,1.0265
2015-11-26,1.0265
2015-11-27,1.0265
2015-11-30,1.02525
2015-12-01,1.02806
2015-12-02,1.024
2015-12-03,1.03056
2015-12-04,1.0465
2015-12-07,1.0465
2015-12-08,1.04494
2015-12-09,1.0465
2015-12-10,1.05013
2015-12-11,1.05513
2015-12-14,1.05513
2015-12-15,1.05763
2015-12-16,1.05775
2015-12-17,1.05619
2015-12-18,1.05775
2015-12-21,1.0565
2015-12-22,1.05588
2015-12-23,1.0565
2015-12-24,1.06119
2015-12-25,.
2015-12-28,.
2015-12-29,1.06244
2015-12-30,1.069
2015-12-31,1.07025
2016-01-01,.
2016-01-04,1.069
2016-01-05,1.06088
2016-01-06,1.05088
2016-01-07,1.044
2016-01-08,1.044
2016-01-11,1.044
2016-01-12,1.03688
2016-01-13,1.035
2016-01-14,1.0325
2016-01-15,1.03063
2016-01-18,1.02125
2016-01-19,1.02338
2016-01-20,1.01313
2016-01-21,1.01313
2016-01-22,1.015
2016-01-25,1.01188
2016-01-26,1.01
2016-01-27,1.01063
2016-01-28,1.009
2016-01-29,0.99713
2016-02-01,0.99525
2016-02-02,0.99525
2016-02-03,0.99775
2016-02-04,0.99963
2016-02-05,0.99838
2016-02-08,0.99963
2016-02-09,1.0015
2016-02-10,0.99338
2016-02-11,0.98963
2016-02-12,0.98275
2016-02-15,0.999
2016-02-16,0.999
2016-02-17,0.99963
2016-02-18,1.00713
2016-02-19,1.00463
2016-02-22,1.00588
2016-02-23,1.00838
2016-02-24,1.00775
2016-02-25,1.00463
2016-02-26,0.99963
2016-02-29,0.99463
2016-03-01,0.99713
2016-03-02,0.99963
2016-03-03,1.00525
2016-03-04,1.00275
2016-03-07,1.004
2016-03-08,1.00275
2016-03-09,1.004
2016-03-10,1.004
2016-03-11,1.01713
2016-03-14,1.02213
2016-03-15,1.02088
2016-03-16,1.01963
