DATE,GBP3MTD156N
2015-01-02,0.56338
2015-01-05,0.56338
2015-01-06,0.56431
2015-01-07,0.55994
2015-01-08,0.55994
2015-01-09,0.56119
2015-01-12,0.56056
2015-01-13,0.56025
2015-01-14,0.56275
2015-01-15,0.55969
2015-01-16,0.56056
2015-01-19,0.56306
2015-01-20,0.56306
2015-01-21,0.56056
2015-01-22,0.56338
2015-01-23,0.56588
2015-01-26,0.56525
2015-01-27,0.564
2015-01-28,0.564
2015-01-29,0.56463
2015-01-30,0.56338
2015-02-02,0.56338
2015-02-03,0.56338
2015-02-04,0.564
2015-02-05,0.56369
2015-02-06,0.56244
2015-02-09,0.56369
2015-02-10,0.56463
2015-02-11,0.56525
2015-02-12,0.564
2015-02-13,0.56275
2015-02-16,0.56275
2015-02-17,0.5615
2015-02-18,0.56181
2015-02-19,0.56338
2015-02-20,0.56494
2015-02-23,0.56463
2015-02-24,0.56463
2015-02-25,0.56463
2015-02-26,0.56338
2015-02-27,0.56369
2015-03-02,0.5615
2015-03-03,0.56256
2015-03-04,0.56338
2015-03-05,0.56275
2015-03-06,0.564
2015-03-09,0.56275
2015-03-10,0.56163
2015-03-11,0.55963
2015-03-12,0.5615
2015-03-13,0.56181
2015-03-16,0.564
2015-03-17,0.56406
2015-03-18,0.56438
2015-03-19,0.56625
2015-03-20,0.56594
2015-03-23,0.56438
2015-03-24,0.56438
2015-03-25,0.56438
2015-03-26,0.56775
2015-03-27,0.56963
2015-03-30,0.56963
2015-03-31,0.56963
2015-04-01,0.56963
2015-04-02,0.569
2015-04-03,.
2015-04-06,.
2015-04-07,0.57025
2015-04-08,0.569
2015-04-09,0.569
2015-04-10,0.569
2015-04-13,0.57025
2015-04-14,0.57088
2015-04-15,0.57213
2015-04-16,0.57
2015-04-17,0.56875
2015-04-20,0.56875
2015-04-21,0.56625
2015-04-22,0.56594
2015-04-23,0.57125
2015-04-24,0.57063
2015-04-27,0.57063
2015-04-28,0.57275
2015-04-29,0.56813
2015-04-30,0.56875
2015-05-01,0.5675
2015-05-04,.
2015-05-05,0.5675
2015-05-06,0.56813
2015-05-07,0.56813
2015-05-08,0.5675
2015-05-11,0.5675
2015-05-12,0.5675
2015-05-13,0.5675
2015-05-14,0.56688
2015-05-15,0.56688
2015-05-18,0.56688
2015-05-19,0.56688
2015-05-20,0.56688
2015-05-21,0.56688
2015-05-22,0.57063
2015-05-25,.
2015-05-26,0.57094
2015-05-27,0.56719
2015-05-28,0.57094
2015-05-29,0.56719
2015-06-01,0.56719
2015-06-02,0.56844
2015-06-03,0.57031
2015-06-04,0.57094
2015-06-05,0.56938
2015-06-08,0.57125
2015-06-09,0.56875
2015-06-10,0.56875
2015-06-11,0.56875
2015-06-12,0.57125
2015-06-15,0.57125
2015-06-16,0.57125
2015-06-17,0.57313
2015-06-18,0.57188
2015-06-19,0.57188
2015-06-22,0.57188
2015-06-23,0.57188
2015-06-24,0.57344
2015-06-25,0.575
2015-06-26,0.57688
2015-06-29,0.57938
2015-06-30,0.5785
2015-07-01,0.57688
2015-07-02,0.57813
2015-07-03,0.57688
2015-07-06,0.57938
2015-07-07,0.57813
2015-07-08,0.57813
2015-07-09,0.58031
2015-07-10,0.57813
2015-07-13,0.58188
2015-07-14,0.58219
2015-07-15,0.58406
2015-07-16,0.58438
2015-07-17,0.58375
2015-07-20,0.58406
2015-07-21,0.5825
2015-07-22,0.58406
2015-07-23,0.58281
2015-07-24,0.58063
2015-07-27,0.581
2015-07-28,0.58038
2015-07-29,0.57906
2015-07-30,0.58094
2015-07-31,0.58156
2015-08-03,0.58125
2015-08-04,0.58531
2015-08-05,0.58813
2015-08-06,0.59
2015-08-07,0.58725
2015-08-10,0.58938
2015-08-11,0.58938
2015-08-12,0.59125
2015-08-13,0.58938
2015-08-14,0.58438
2015-08-17,0.58563
2015-08-18,0.58625
2015-08-19,0.58625
